czas,e_temperatura,temperatura
861.952,362.486,363.839
864.32,362.158,363.508
866.688,361.833,363.177
869.056,361.508,362.848
871.424,361.184,362.521
873.792,360.862,362.194
876.16,360.541,361.869
878.528,360.221,361.544
880.896,359.902,361.221
883.264,359.584,360.899
885.632,359.267,360.578
888,358.951,360.259
890.368,358.637,359.94
892.736,358.324,359.623
895.104,358.011,359.307
897.472,357.7,358.991
899.84,357.39,358.677
902.208,357.081,358.364
904.576,356.773,358.052
906.944,356.466,357.742
909.312,356.16,357.432
911.68,355.855,357.123
914.048,355.551,356.816
916.416,355.249,356.509
918.784,354.947,356.204
921.152,354.646,355.899
923.52,354.347,355.596
925.888,354.048,355.293
928.256,353.75,354.992
930.624,353.454,354.692
932.992,353.158,354.392
935.36,352.863,354.094
937.728,352.57,353.797
940.096,352.277,353.5
942.464,351.985,353.205
944.832,351.694,352.911
947.2,351.405,352.617
949.568,351.116,352.325
951.936,350.828,352.033
954.304,350.541,351.743
956.672,350.255,351.453
959.04,349.97,351.165
961.408,349.685,350.877
963.776,349.402,350.591
966.144,349.12,350.305
968.512,348.838,350.02
970.88,348.558,349.736
973.248,348.278,349.453
975.616,348,349.171
977.984,347.722,348.89
980.352,347.445,348.61
982.72,347.169,348.33
985.088,346.893,348.052
987.456,346.619,347.774
989.824,346.346,347.498
992.192,346.073,347.222
994.56,345.801,346.947
996.928,345.531,346.673
999.296,345.26,346.4
1001.66,344.991,346.127
1004.03,344.723,345.856
1006.4,344.455,345.585
1008.77,344.189,345.316
1011.14,343.923,345.047
1013.5,343.658,344.779
1015.87,343.394,344.511
1018.24,343.13,344.245
1020.61,342.868,343.979
1022.98,342.606,343.714
1025.34,342.345,343.45
1027.71,342.085,343.187
1030.08,341.825,342.925
1032.45,341.567,342.663
1034.82,341.309,342.402
1037.18,341.052,342.142
1039.55,340.795,341.883
1041.92,340.54,341.625
1044.29,340.285,341.367
1046.66,340.031,341.11
1049.02,339.778,340.854
