czas,e_temperatura,temperatura
1124.01,333.31,333.121
1127.17,332.999,332.811
1130.33,332.689,332.502
1133.48,332.38,332.193
1136.64,332.073,331.886
1139.8,331.766,331.581
1142.95,331.461,331.276
1146.11,331.156,330.972
1149.27,330.853,330.67
1152.43,330.551,330.368
1155.58,330.25,330.068
1158.74,329.95,329.769
1161.9,329.651,329.47
1165.06,329.353,329.173
1168.21,329.057,328.877
1171.37,328.761,328.582
1174.53,328.467,328.288
1177.69,328.173,327.996
1180.84,327.881,327.704
1184,327.589,327.413
1187.16,327.299,327.123
1190.31,327.01,326.834
1193.47,326.721,326.547
1196.63,326.434,326.26
1199.79,326.148,325.974
1202.94,325.862,325.69
1206.1,325.578,325.406
1209.26,325.295,325.123
1212.42,325.012,324.842
1215.57,324.731,324.561
1218.73,324.451,324.281
1221.89,324.171,324.002
1225.05,323.893,323.724
1228.2,323.615,323.447
1231.36,323.339,323.171
1234.52,323.063,322.896
1237.67,322.788,322.622
1240.83,322.515,322.349
1243.99,322.242,322.077
1247.15,321.97,321.805
1250.3,321.699,321.535
1253.46,321.429,321.265
1256.62,321.16,320.997
1259.78,320.891,320.729
1262.93,320.624,320.462
1266.09,320.358,320.196
1269.25,320.092,319.931
1272.41,319.827,319.667
1275.56,319.563,319.404
1278.72,319.3,319.141
1281.88,319.038,318.88
1285.03,318.777,318.619
1288.19,318.517,318.359
1291.35,318.257,318.1
1294.51,317.998,317.842
1297.66,317.741,317.584
1300.82,317.483,317.328
1303.98,317.227,317.072
1307.14,316.972,316.817
1310.29,316.717,316.563
1313.45,316.464,316.31
1316.61,316.211,316.058
1319.77,315.959,315.806
1322.92,315.707,315.555
1326.08,315.457,315.305
1329.24,315.207,315.056
1332.39,314.958,314.807
1335.55,314.71,314.56
1338.71,314.462,314.313
1341.87,314.216,314.067
1345.02,313.97,313.821
1348.18,313.725,313.577
1351.34,313.481,313.333
1354.5,313.237,313.09
1357.65,312.994,312.847
1360.81,312.752,312.606
1363.97,312.511,312.365
1367.13,312.27,312.125
